sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx,batch
54_120ac5f53bda4d1d9306a050a3b6e46b,main,paint3d,syncmvd,spotex,mvadapter,goatex,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,14,batch1
48_d53b232eab0048b48835c2caef28f44e,main,spotex,mvadapter,paint3d,syncmvd,TEXGen,goatex,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,15,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,goatex,spotex,mvadapter,paint3d,TEXGen,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,16,batch1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,mvadapter,TEXGen,syncmvd,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,17,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,TEXGen,syncmvd,spotex,mvadapter,paint3d,goatex,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,18,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,mvadapter,TEXGen,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,19,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_1,_corrupt_3,_corrupt_4,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,20,batch1
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,syncmvd,mvadapter,paint3d,goatex,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,21,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,main,paint3d,mvadapter,spotex,goatex,syncmvd,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,22,batch1
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,TEXGen,paint3d,mvadapter,goatex,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,23,batch1
48_d53b232eab0048b48835c2caef28f44e,main,goatex,TEXGen,spotex,mvadapter,syncmvd,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,24,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,syncmvd,TEXGen,mvadapter,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,0,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,1,batch1
06_ce195c7adddb44d2bf963c526756362a,main,goatex,mvadapter,TEXGen,spotex,syncmvd,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,2,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,3,batch1
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,mvadapter,syncmvd,TEXGen,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,4,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,TEXGen,paint3d,mvadapter,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,5,batch1
58_1d7b005b0cf241d9890739a549769c86,main,syncmvd,goatex,TEXGen,paint3d,mvadapter,spotex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,6,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,7,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,mvadapter,TEXGen,syncmvd,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,8,batch1
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,mvadapter,TEXGen,goatex,syncmvd,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,9,batch1
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,10,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,mvadapter,goatex,syncmvd,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,11,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,syncmvd,goatex,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,12,batch1
58_1d7b005b0cf241d9890739a549769c86,main,spotex,TEXGen,syncmvd,paint3d,goatex,mvadapter,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,13,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,spotex,goatex,TEXGen,syncmvd,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,14,batch1
48_d53b232eab0048b48835c2caef28f44e,main,mvadapter,spotex,syncmvd,TEXGen,goatex,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,15,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,paint3d,goatex,syncmvd,TEXGen,mvadapter,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,16,batch1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,mvadapter,syncmvd,TEXGen,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,17,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,syncmvd,paint3d,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,18,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,paint3d,mvadapter,syncmvd,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,19,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,_corrupt_3,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,20,batch1
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,paint3d,goatex,syncmvd,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,21,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,spotex,paint3d,goatex,syncmvd,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,22,batch1
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,TEXGen,syncmvd,mvadapter,paint3d,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,23,batch1
48_d53b232eab0048b48835c2caef28f44e,main,syncmvd,paint3d,goatex,mvadapter,spotex,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,24,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,paint3d,mvadapter,syncmvd,TEXGen,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,0,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_0,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,1,batch1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,mvadapter,TEXGen,syncmvd,paint3d,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,2,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_0,_corrupt_3,_corrupt_4,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,3,batch1
45_1a6d42ef69294498937aab039ececb00,main,goatex,paint3d,syncmvd,TEXGen,mvadapter,spotex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,4,batch1
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,spotex,mvadapter,goatex,TEXGen,paint3d,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,5,batch1
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,mvadapter,spotex,paint3d,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,6,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,7,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,mvadapter,TEXGen,goatex,syncmvd,paint3d,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,8,batch1
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,goatex,TEXGen,mvadapter,syncmvd,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,9,batch1
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,10,batch1
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,paint3d,TEXGen,syncmvd,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,11,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,paint3d,TEXGen,syncmvd,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,12,batch1
58_1d7b005b0cf241d9890739a549769c86,main,goatex,paint3d,spotex,TEXGen,mvadapter,syncmvd,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,13,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,syncmvd,goatex,TEXGen,spotex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,14,batch1
48_d53b232eab0048b48835c2caef28f44e,main,goatex,syncmvd,TEXGen,spotex,paint3d,mvadapter,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,15,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,syncmvd,goatex,paint3d,TEXGen,mvadapter,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,16,batch1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,syncmvd,mvadapter,TEXGen,paint3d,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,17,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,paint3d,goatex,syncmvd,TEXGen,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,18,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,mvadapter,syncmvd,goatex,paint3d,TEXGen,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,19,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_3,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,20,batch1
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,paint3d,goatex,syncmvd,TEXGen,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,21,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,syncmvd,spotex,TEXGen,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,22,batch1
35_02797d5feaac4ccabfdf8b357fa2a13a,main,mvadapter,spotex,goatex,syncmvd,paint3d,TEXGen,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,23,batch1
48_d53b232eab0048b48835c2caef28f44e,main,syncmvd,TEXGen,goatex,spotex,paint3d,mvadapter,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,24,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,goatex,syncmvd,TEXGen,paint3d,mvadapter,spotex,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,0,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_0,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,1,batch1
06_ce195c7adddb44d2bf963c526756362a,main,paint3d,spotex,goatex,syncmvd,TEXGen,mvadapter,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,2,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_1,_corrupt_0,_corrupt_4,_corrupt_2,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,3,batch1
45_1a6d42ef69294498937aab039ececb00,main,paint3d,goatex,syncmvd,TEXGen,mvadapter,spotex,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,4,batch1
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,TEXGen,goatex,paint3d,mvadapter,spotex,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,5,batch1
58_1d7b005b0cf241d9890739a549769c86,main,goatex,TEXGen,syncmvd,mvadapter,paint3d,spotex,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,6,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,7,batch1
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,TEXGen,goatex,spotex,paint3d,mvadapter,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,8,batch1
45_1a6d42ef69294498937aab039ececb00,main,spotex,mvadapter,goatex,paint3d,TEXGen,syncmvd,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,9,batch1
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_0,_corrupt_2,_corrupt_3,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,10,batch1
02_16ee83e509e745998f229da44a8387e8,main,TEXGen,syncmvd,goatex,paint3d,mvadapter,spotex,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,11,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,paint3d,syncmvd,TEXGen,goatex,mvadapter,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,12,batch1
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,spotex,mvadapter,paint3d,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,13,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,main,paint3d,syncmvd,mvadapter,spotex,goatex,TEXGen,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,14,batch1
48_d53b232eab0048b48835c2caef28f44e,main,goatex,TEXGen,paint3d,syncmvd,spotex,mvadapter,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,15,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,syncmvd,TEXGen,mvadapter,paint3d,goatex,spotex,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,16,batch1
06_ce195c7adddb44d2bf963c526756362a,main,paint3d,syncmvd,TEXGen,mvadapter,goatex,spotex,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,17,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,goatex,TEXGen,paint3d,syncmvd,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,18,batch1
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,spotex,TEXGen,goatex,paint3d,mvadapter,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,19,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_3,AW7JEJN4KPU6B,H_0001,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,20,batch1
